THUM_GEOGRAFI,SUG_DEREH,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH
1,2,11,33,4,1,4,3,1,3,0,1,1,2,4,1,1,1
1,2,11,59,4,1,2,3,5,3,0,1,1,3,1,1,1,1
1,3,3,49,4,1,2,3,5,1,0,1,1,3,2,1,1,1
1,2,6,94,4,5,5,3,1,3,0,1,1,3,4,3,1,1
1,2,10,46,3,1,6,3,3,0,3,5,1,0,3,1,1,1
1,3,11,39,4,1,6,3,2,3,0,4,1,4,3,1,1,1
1,2,4,33,3,1,4,3,3,3,0,1,1,2,3,1,1,1
1,2,6,63,4,1,4,3,2,3,0,1,1,3,3,1,1,1
1,1,11,49,4,1,4,2,1,3,0,1,1,3,2,1,2,2
1,4,1,59,4,1,7,3,2,2,0,2,1,3,3,1,2,2
1,4,6,43,4,1,7,3,8,2,0,4,1,4,3,1,1,1
1,4,9,37,4,1,2,2,3,0,2,0,0,0,5,11,9,9
1,1,2,31,4,1,4,3,5,3,0,1,1,2,3,1,1,2
1,1,6,74,4,1,1,3,2,0,3,1,1,3,3,1,1,1
1,2,12,93,4,5,6,3,8,0,3,1,1,3,3,3,1,1
1,1,6,80,4,5,6,2,1,3,0,1,1,3,3,10,1,1
1,2,6,87,4,5,7,3,4,0,1,1,1,0,3,6,1,1
2,4,12,37,4,1,3,3,2,3,0,2,1,2,3,1,1,1
1,3,9,79,4,5,3,3,2,0,3,4,1,4,3,3,1,1
1,2,6,73,4,1,3,3,2,3,0,1,1,2,2,1,1,1
1,2,6,73,4,1,2,2,10,3,0,4,1,5,3,1,1,6
1,3,1,96,4,5,5,3,2,0,3,5,1,3,3,3,2,2
1,4,11,33,4,1,1,3,4,2,0,4,1,2,3,1,1,1
1,1,2,78,4,5,1,3,2,0,3,2,1,3,3,3,1,1
1,1,4,37,4,1,3,3,2,0,3,2,1,3,3,1,1,1
1,2,9,78,4,5,7,3,3,1,0,1,1,3,3,3,1,1
1,1,4,78,4,5,5,3,2,2,0,1,1,3,3,6,1,1
1,2,11,62,4,1,6,3,4,0,1,1,1,2,3,1,1,1
1,1,8,62,4,1,5,3,1,1,0,1,1,2,3,1,1,1
2,4,5,81,4,5,2,2,1,0,2,4,3,5,4,3,1,1
1,3,3,4,4,5,3,2,8,0,3,5,0,3,3,3,1,1
1,2,12,48,4,1,2,3,8,0,3,1,1,4,3,1,1,1
1,2,12,45,4,1,1,3,3,0,2,3,1,4,3,1,1,9
1,1,7,81,4,5,2,3,5,3,0,1,1,2,3,3,1,1
1,1,6,47,4,1,3,3,2,1,0,1,1,2,3,1,1,1
1,1,1,76,4,5,2,3,1,0,3,1,1,2,3,3,1,1
1,2,9,62,4,1,3,3,9,0,3,1,1,1,3,1,1,1
1,1,9,65,4,1,6,3,2,0,2,1,1,5,3,1,1,1
1,2,8,57,4,1,3,3,2,0,3,3,1,3,3,1,1,1
1,2,6,63,4,1,6,3,10,3,0,1,1,2,3,1,1,1
1,2,3,53,4,1,4,3,15,1,0,1,1,3,3,11,1,1
2,1,11,73,4,5,1,1,1,0,3,1,1,1,3,3,1,1
1,1,2,93,4,5,6,3,2,1,0,3,1,4,3,3,1,1
1,2,2,31,4,1,3,3,4,3,0,1,1,2,3,1,1,1
1,1,7,54,4,1,5,3,1,3,0,1,1,5,2,1,1,1
1,2,8,85,4,5,3,3,1,2,0,1,1,3,3,3,1,1
1,1,6,55,4,1,7,3,8,0,2,2,1,4,1,1,1,1
1,4,3,66,4,1,5,1,3,0,2,7,1,4,3,1,1,1
1,3,4,35,4,1,5,3,2,1,0,1,1,4,3,1,1,1
1,1,8,87,4,5,5,3,2,1,0,1,1,2,3,3,1,1
1,2,4,73,4,1,3,3,2,0,3,1,1,2,3,1,1,1
1,2,2,28,4,1,3,2,1,0,3,1,1,2,3,1,1,1
1,2,9,69,1,1,7,2,3,3,0,1,1,2,3,1,1,1
1,4,10,75,4,5,1,3,1,0,3,1,1,3,3,6,1,1
1,1,3,81,4,5,5,3,1,2,0,1,1,3,3,3,1,1
1,3,3,53,4,1,5,3,2,0,3,5,1,3,3,1,1,1
1,4,9,25,4,5,2,2,5,2,0,4,1,3,3,5,1,1
1,1,6,77,4,1,1,3,2,0,3,1,1,2,3,1,1,1
1,1,9,61,4,1,4,3,2,0,3,3,1,5,3,1,1,1
1,4,5,63,4,1,2,3,8,2,0,4,1,3,3,1,1,1
1,1,4,93,3,5,6,3,1,3,0,1,1,2,3,3,1,1
1,2,2,93,4,5,5,3,10,3,0,1,1,2,3,6,1,1
1,1,8,87,4,5,5,3,2,0,3,1,1,3,3,3,1,1
1,1,8,50,4,1,5,3,4,3,0,1,1,2,3,1,1,1
2,4,12,52,4,1,5,3,2,0,3,3,1,2,3,1,1,1
1,2,5,55,4,1,6,3,1,1,0,1,1,2,3,1,1,1
1,1,8,42,4,1,4,2,2,0,3,1,1,1,3,1,1,1
1,1,10,45,3,1,6,3,2,3,0,1,1,2,3,1,1,1
1,2,6,88,4,5,5,2,15,0,3,1,1,2,3,3,1,1
1,4,7,65,4,1,2,3,3,0,3,5,1,4,3,1,1,1
1,1,4,7,4,5,3,3,7,1,0,1,1,2,1,3,1,1
1,2,3,87,4,5,4,3,1,3,0,1,1,3,3,3,1,1
1,1,10,59,4,1,5,3,2,0,3,1,1,5,3,1,1,1
1,2,8,53,4,1,5,3,2,1,0,1,1,2,3,1,1,1
1,2,12,63,4,1,7,2,1,3,0,1,1,2,4,1,1,1
1,2,2,74,4,5,5,3,2,3,0,1,1,4,3,3,1,1
1,1,10,81,4,5,5,3,4,1,0,3,1,3,3,3,1,1
1,4,8,63,4,1,6,2,4,3,0,2,1,3,4,1,1,1
1,2,4,57,4,1,3,3,1,0,2,1,1,3,3,1,1,1
1,2,9,36,4,1,2,3,4,0,3,1,1,2,3,1,1,1
1,4,1,57,4,1,1,3,3,2,0,4,1,3,3,1,1,1
1,2,9,76,4,5,5,2,1,3,0,1,1,3,4,3,1,1
1,4,10,9,4,5,6,3,10,3,0,5,1,1,3,3,1,1
1,4,7,69,4,1,1,3,2,2,0,4,1,3,3,1,1,1
1,1,5,54,4,1,1,3,2,0,3,1,1,0,3,1,1,1
1,1,7,11,4,5,7,3,2,3,0,1,1,2,3,3,1,1
1,1,12,45,4,1,5,3,18,9,0,0,0,0,5,11,9,9
2,1,11,59,4,1,4,3,2,1,0,1,1,1,3,1,1,1
1,1,6,64,4,1,2,2,2,0,3,1,1,5,3,1,1,1
1,2,5,91,4,5,5,3,2,3,0,1,1,4,3,3,1,1
1,3,1,88,4,5,7,3,2,0,3,5,1,4,3,3,1,1
1,4,7,62,4,1,1,3,3,0,2,5,1,4,3,1,1,1
1,2,6,61,4,1,3,2,11,3,0,1,1,1,3,1,1,3
1,1,11,69,4,5,4,3,2,3,0,1,0,4,3,6,1,1
1,1,7,73,4,1,1,3,4,0,3,1,1,3,3,1,1,1
1,4,6,65,4,1,5,3,2,0,2,5,1,3,3,1,1,1
1,4,5,57,4,1,7,3,2,3,0,4,1,3,3,1,1,1
1,2,8,66,4,1,1,3,1,0,2,1,0,3,1,1,1,1
1,2,4,83,4,5,4,3,11,3,0,1,1,3,3,6,1,1
1,2,3,76,4,5,4,3,1,9,0,0,0,0,5,6,9,9
1,1,7,39,4,1,5,3,2,3,0,1,1,3,3,1,1,1
1,2,10,35,4,1,1,3,2,9,0,0,0,0,5,11,9,9
2,4,8,59,4,1,2,3,8,9,0,0,0,0,5,11,9,9
1,1,1,52,4,1,6,3,2,0,3,1,0,3,3,1,1,1
1,1,3,63,4,1,4,3,2,1,0,1,1,0,3,1,1,1
1,2,6,73,4,1,2,2,1,3,0,1,1,2,3,1,1,1
1,2,8,83,4,5,4,3,1,0,2,1,1,3,3,3,1,1
1,2,3,60,4,1,6,3,1,0,3,1,0,0,3,1,1,1
2,4,2,62,4,1,3,3,1,3,0,4,1,3,3,1,1,1
1,4,7,12,4,5,3,3,6,0,3,7,1,3,3,3,1,1
1,1,10,73,4,5,4,3,2,9,0,0,0,0,5,6,9,9
1,2,11,71,4,5,2,3,1,9,0,0,0,0,5,6,9,9
1,3,3,35,4,1,2,3,10,2,0,4,1,4,3,1,2,2
1,4,11,59,4,1,4,3,3,3,0,4,1,3,3,1,1,1
